Id,"Medicine Name",Description,Quantity,"Unit Price","Cost Price"
182,"Medicine 182","Sample description for Medicine 182",421,198,83358
183,"Medicine 183","Sample description for Medicine 183",230,178,40940
184,"Medicine 184","Sample description for Medicine 184",191,177,33807
185,"Medicine 185","Sample description for Medicine 185",17,43,731
186,"Medicine 186","Sample description for Medicine 186",94,87,8178
187,"Medicine 187","Sample description for Medicine 187",65,137,8905
188,"Medicine 188","Sample description for Medicine 188",14,144,2016
189,"Medicine 189","Sample description for Medicine 189",190,95,18050
190,"Medicine 190","Sample description for Medicine 190",498,21,10458
191,"Medicine 191","Sample description for Medicine 191",275,151,41525
192,"Medicine 192","Sample description for Medicine 192",467,184,85928
193,"Medicine 193","Sample description for Medicine 193",210,88,18480
194,"Medicine 194","Sample description for Medicine 194",411,71,29181
195,"Medicine 195","Sample description for Medicine 195",101,77,7777
196,"Medicine 196","Sample description for Medicine 196",239,133,31787
197,"Medicine 197","Sample description for Medicine 197",352,65,22880
198,"Medicine 198","Sample description for Medicine 198",332,65,21580
199,"Medicine 199","Sample description for Medicine 199",476,158,75208
200,"Medicine 200","Sample description for Medicine 200",207,80,16560
201,"Medicine 201","Sample description for Medicine 201",176,25,4400
202,"Medicine 202","Sample description for Medicine 202",276,162,44712
203,"Medicine 203","Sample description for Medicine 203",308,87,26796
204,"Medicine 204","Sample description for Medicine 204",487,42,20454
205,"Medicine 205","Sample description for Medicine 205",316,154,48664
206,"Medicine 206","Sample description for Medicine 206",83,122,10126
207,"Medicine 207","Sample description for Medicine 207",126,176,22176
208,"Medicine 208","Sample description for Medicine 208",426,122,51972
209,"Medicine 209","Sample description for Medicine 209",389,118,45902
210,"Medicine 210","Sample description for Medicine 210",15,111,1665
211,"Medicine 211","Sample description for Medicine 211",491,113,55483
212,"Medicine 212","Sample description for Medicine 212",451,112,50512
213,"Medicine 213","Sample description for Medicine 213",308,193,59444
214,"Medicine 214","Sample description for Medicine 214",377,105,39585
215,"Medicine 215","Sample description for Medicine 215",65,113,7345
216,"Medicine 216","Sample description for Medicine 216",271,42,11382
217,"Medicine 217","Sample description for Medicine 217",193,35,6755
218,"Medicine 218","Sample description for Medicine 218",447,194,86718
219,"Medicine 219","Sample description for Medicine 219",171,114,19494
220,"Medicine 220","Sample description for Medicine 220",228,13,2964
221,"Medicine 221","Sample description for Medicine 221",215,86,18490
222,"Medicine 222","Sample description for Medicine 222",412,46,18952
223,"Medicine 223","Sample description for Medicine 223",241,129,31089
224,"Medicine 224","Sample description for Medicine 224",449,144,64656
225,"Medicine 225","Sample description for Medicine 225",113,170,19210
226,"Medicine 226","Sample description for Medicine 226",480,197,94560
227,"Medicine 227","Sample description for Medicine 227",246,31,7626
228,"Medicine 228","Sample description for Medicine 228",59,81,4779
229,"Medicine 229","Sample description for Medicine 229",78,118,9204
230,"Medicine 230","Sample description for Medicine 230",125,59,7375
231,"Medicine 231","Sample description for Medicine 231",131,199,26069
232,"Medicine 232","Sample description for Medicine 232",125,90,11250
233,"Medicine 233","Sample description for Medicine 233",309,131,40479
234,"Medicine 234","Sample description for Medicine 234",97,47,4559
235,"Medicine 235","Sample description for Medicine 235",418,92,38456
236,"Medicine 236","Sample description for Medicine 236",42,117,4914
237,"Medicine 237","Sample description for Medicine 237",52,60,3120
238,"Medicine 238","Sample description for Medicine 238",178,98,17444
239,"Medicine 239","Sample description for Medicine 239",76,52,3952
240,"Medicine 240","Sample description for Medicine 240",453,149,67497
241,"Medicine 241","Sample description for Medicine 241",333,118,39294
242,"Medicine 242","Sample description for Medicine 242",479,25,11975
243,"Medicine 243","Sample description for Medicine 243",494,62,30628
244,"Medicine 244","Sample description for Medicine 244",485,150,72750
245,"Medicine 245","Sample description for Medicine 245",388,63,24444
246,"Medicine 246","Sample description for Medicine 246",118,112,13216
247,"Medicine 247","Sample description for Medicine 247",26,162,4212
248,"Medicine 248","Sample description for Medicine 248",319,28,8932
249,"Medicine 249","Sample description for Medicine 249",358,33,11814
250,"Medicine 250","Sample description for Medicine 250",381,153,58293
251,"Medicine 251","Sample description for Medicine 251",318,21,6678
252,"Medicine 252","Sample description for Medicine 252",126,113,14238
253,"Medicine 253","Sample description for Medicine 253",490,98,48020
254,"Medicine 254","Sample description for Medicine 254",5,69,345
255,"Medicine 255","Sample description for Medicine 255",346,182,62972
256,"Medicine 256","Sample description for Medicine 256",440,54,23760
257,"Medicine 257","Sample description for Medicine 257",454,26,11804
258,"Medicine 258","Sample description for Medicine 258",3,109,327
259,"Medicine 259","Sample description for Medicine 259",214,26,5564
260,"Medicine 260","Sample description for Medicine 260",322,56,18032
261,"Medicine 261","Sample description for Medicine 261",95,19,1805
262,"Medicine 262","Sample description for Medicine 262",126,178,22428
263,"Medicine 263","Sample description for Medicine 263",418,165,68970
264,"Medicine 264","Sample description for Medicine 264",412,83,34196
265,"Medicine 265","Sample description for Medicine 265",306,26,7956
266,"Medicine 266","Sample description for Medicine 266",115,30,3450
267,"Medicine 267","Sample description for Medicine 267",30,82,2460
268,"Medicine 268","Sample description for Medicine 268",8,52,416
269,"Medicine 269","Sample description for Medicine 269",75,19,1425
270,"Medicine 270","Sample description for Medicine 270",36,66,2376
271,"Medicine 271","Sample description for Medicine 271",317,32,10144
272,"Medicine 272","Sample description for Medicine 272",410,134,54940
273,"Medicine 273","Sample description for Medicine 273",199,107,21293
274,"Medicine 274","Sample description for Medicine 274",231,180,41580
275,"Medicine 275","Sample description for Medicine 275",479,67,32093
276,"Medicine 276","Sample description for Medicine 276",228,78,17784
277,"Medicine 277","Sample description for Medicine 277",419,110,46090
278,"Medicine 278","Sample description for Medicine 278",364,48,17472
279,"Medicine 279","Sample description for Medicine 279",333,117,38961
280,"Medicine 280","Sample description for Medicine 280",341,59,20119
281,"Medicine 281","Sample description for Medicine 281",159,70,11130
282,"Medicine 282","Sample description for Medicine 282",113,127,14351
283,"Medicine 283","Sample description for Medicine 283",460,151,69460
284,"Medicine 284","Sample description for Medicine 284",110,151,16610
285,"Medicine 285","Sample description for Medicine 285",403,192,77376
286,"Medicine 286","Sample description for Medicine 286",443,158,69994
287,"Medicine 287","Sample description for Medicine 287",290,23,6670
288,"Medicine 288","Sample description for Medicine 288",42,18,756
289,"Medicine 289","Sample description for Medicine 289",39,39,1521
290,"Medicine 290","Sample description for Medicine 290",45,42,1890
291,"Medicine 291","Sample description for Medicine 291",36,45,1620
292,"Medicine 292","Sample description for Medicine 292",260,78,20280
293,"Medicine 293","Sample description for Medicine 293",93,72,6696
294,"Medicine 294","Sample description for Medicine 294",99,37,3663
295,"Medicine 295","Sample description for Medicine 295",453,26,11778
296,"Medicine 296","Sample description for Medicine 296",431,90,38790
297,"Medicine 297","Sample description for Medicine 297",431,148,63788
298,"Medicine 298","Sample description for Medicine 298",81,95,7695
299,"Medicine 299","Sample description for Medicine 299",329,18,5922
300,"Medicine 300","Sample description for Medicine 300",351,174,61074
301,"Medicine 301","Sample description for Medicine 301",296,99,29304
302,"Medicine 302","Sample description for Medicine 302",332,87,28884
303,"Medicine 303","Sample description for Medicine 303",300,15,4500
304,"Medicine 304","Sample description for Medicine 304",83,39,3237
305,"Medicine 305","Sample description for Medicine 305",202,118,23836
306,"Medicine 306","Sample description for Medicine 306",301,179,53879
307,"Medicine 307","Sample description for Medicine 307",50,15,750
308,"Medicine 308","Sample description for Medicine 308",6,156,936
309,"Medicine 309","Sample description for Medicine 309",278,114,31692
310,"Medicine 310","Sample description for Medicine 310",448,178,79744
311,"Medicine 311","Sample description for Medicine 311",362,128,46336
312,"Medicine 312","Sample description for Medicine 312",307,36,11052
313,"Medicine 313","Sample description for Medicine 313",325,71,23075
314,"Medicine 314","Sample description for Medicine 314",434,182,78988
315,"Medicine 315","Sample description for Medicine 315",34,91,3094
316,"Medicine 316","Sample description for Medicine 316",78,57,4446
317,"Medicine 317","Sample description for Medicine 317",400,131,52400
318,"Medicine 318","Sample description for Medicine 318",44,59,2596
319,"Medicine 319","Sample description for Medicine 319",320,10,3200
320,"Medicine 320","Sample description for Medicine 320",163,92,14996
321,"Medicine 321","Sample description for Medicine 321",295,22,6490
322,"Medicine 322","Sample description for Medicine 322",299,188,56212
323,"Medicine 323","Sample description for Medicine 323",66,122,8052
324,"Medicine 324","Sample description for Medicine 324",482,91,43862
325,"Medicine 325","Sample description for Medicine 325",184,116,21344
326,"Medicine 326","Sample description for Medicine 326",410,94,38540
327,"Medicine 327","Sample description for Medicine 327",44,10,440
328,"Medicine 328","Sample description for Medicine 328",325,54,17550
329,"Medicine 329","Sample description for Medicine 329",111,155,17205
330,"Medicine 330","Sample description for Medicine 330",477,142,67734
331,"Medicine 331","Sample description for Medicine 331",116,133,15428
332,"Medicine 332","Sample description for Medicine 332",457,22,10054
333,"Medicine 333","Sample description for Medicine 333",323,132,42636
334,"Medicine 334","Sample description for Medicine 334",207,150,31050
335,"Medicine 335","Sample description for Medicine 335",258,98,25284
336,"Medicine 336","Sample description for Medicine 336",393,174,68382
337,"Medicine 337","Sample description for Medicine 337",27,61,1647
338,"Medicine 338","Sample description for Medicine 338",188,181,34028
339,"Medicine 339","Sample description for Medicine 339",267,93,24831
340,"Medicine 340","Sample description for Medicine 340",177,87,15399
341,"Medicine 341","Sample description for Medicine 341",213,140,29820
342,"Medicine 342","Sample description for Medicine 342",430,127,54610
343,"Medicine 343","Sample description for Medicine 343",273,187,51051
344,"Medicine 344","Sample description for Medicine 344",152,25,3800
345,"Medicine 345","Sample description for Medicine 345",152,104,15808
346,"Medicine 346","Sample description for Medicine 346",422,172,72584
347,"Medicine 347","Sample description for Medicine 347",345,10,3450
348,"Medicine 348","Sample description for Medicine 348",204,136,27744
349,"Medicine 349","Sample description for Medicine 349",78,65,5070
350,"Medicine 350","Sample description for Medicine 350",90,35,3150
351,"Medicine 351","Sample description for Medicine 351",480,158,75840
352,"Medicine 352","Sample description for Medicine 352",312,195,60840
353,"Medicine 353","Sample description for Medicine 353",47,12,564
354,"Medicine 354","Sample description for Medicine 354",308,185,56980
355,"Medicine 355","Sample description for Medicine 355",56,193,10808
356,"Medicine 356","Sample description for Medicine 356",155,127,19685
357,"Medicine 357","Sample description for Medicine 357",447,179,80013
358,"Medicine 358","Sample description for Medicine 358",399,133,53067
359,"Medicine 359","Sample description for Medicine 359",170,50,8500
360,"Medicine 360","Sample description for Medicine 360",187,33,6171
361,"Medicine 361","Sample description for Medicine 361",101,107,10807
362,"Medicine 362","Sample description for Medicine 362",442,141,62322
363,"Medicine 363","Sample description for Medicine 363",364,165,60060
364,"Medicine 364","Sample description for Medicine 364",433,109,47197
365,"Medicine 365","Sample description for Medicine 365",88,121,10648
366,"Medicine 366","Sample description for Medicine 366",170,108,18360
367,"Medicine 367","Sample description for Medicine 367",223,17,3791
368,"Medicine 368","Sample description for Medicine 368",498,180,89640
369,"Medicine 369","Sample description for Medicine 369",117,146,17082
370,"Medicine 370","Sample description for Medicine 370",175,143,25025
371,"Medicine 371","Sample description for Medicine 371",488,80,39040
372,"Medicine 372","Sample description for Medicine 372",87,98,8526
373,"Medicine 373","Sample description for Medicine 373",59,183,10797
374,"Medicine 374","Sample description for Medicine 374",29,170,4930
375,"Medicine 375","Sample description for Medicine 375",382,126,48132
376,"Medicine 376","Sample description for Medicine 376",402,121,48642
377,"Medicine 377","Sample description for Medicine 377",497,136,67592
378,"Medicine 378","Sample description for Medicine 378",475,156,74100
379,"Medicine 379","Sample description for Medicine 379",376,171,64296
380,"Medicine 380","Sample description for Medicine 380",219,18,3942
381,"Medicine 381","Sample description for Medicine 381",248,105,26040
382,"Medicine 382","Sample description for Medicine 382",177,25,4425
383,"Medicine 383","Sample description for Medicine 383",268,146,39128
384,"Medicine 384","Sample description for Medicine 384",383,101,38683
385,"Medicine 385","Sample description for Medicine 385",268,189,50652
386,"Medicine 386","Sample description for Medicine 386",433,62,26846
387,"Medicine 387","Sample description for Medicine 387",350,180,63000
388,"Medicine 388","Sample description for Medicine 388",237,42,9954
389,"Medicine 389","Sample description for Medicine 389",435,119,51765
390,"Medicine 390","Sample description for Medicine 390",251,57,14307
391,"Medicine 391","Sample description for Medicine 391",456,117,53352
392,"Medicine 392","Sample description for Medicine 392",79,141,11139
393,"Medicine 393","Sample description for Medicine 393",320,79,25280
394,"Medicine 394","Sample description for Medicine 394",234,39,9126
395,"Medicine 395","Sample description for Medicine 395",74,172,12728
396,"Medicine 396","Sample description for Medicine 396",336,41,13776
397,"Medicine 397","Sample description for Medicine 397",487,81,39447
398,"Medicine 398","Sample description for Medicine 398",177,78,13806
399,"Medicine 399","Sample description for Medicine 399",243,135,32805
400,"Medicine 400","Sample description for Medicine 400",225,187,42075
401,"Medicine 401","Sample description for Medicine 401",124,68,8432
402,"Medicine 402","Sample description for Medicine 402",288,41,11808
403,"Medicine 403","Sample description for Medicine 403",141,172,24252
404,"Medicine 404","Sample description for Medicine 404",96,147,14112
405,"Medicine 405","Sample description for Medicine 405",386,120,46320
406,"Medicine 406","Sample description for Medicine 406",462,131,60522
407,"Medicine 407","Sample description for Medicine 407",406,68,27608
408,"Medicine 408","Sample description for Medicine 408",455,148,67340
409,"Medicine 409","Sample description for Medicine 409",327,41,13407
410,"Medicine 410","Sample description for Medicine 410",495,199,98505
411,"Medicine 411","Sample description for Medicine 411",365,12,4380
412,"Medicine 412","Sample description for Medicine 412",263,165,43395
413,"Medicine 413","Sample description for Medicine 413",147,90,13230
414,"Medicine 414","Sample description for Medicine 414",196,170,33320
415,"Medicine 415","Sample description for Medicine 415",417,157,65469
416,"Medicine 416","Sample description for Medicine 416",27,164,4428
417,"Medicine 417","Sample description for Medicine 417",20,193,3860
418,"Medicine 418","Sample description for Medicine 418",223,42,9366
419,"Medicine 419","Sample description for Medicine 419",339,33,11187
420,"Medicine 420","Sample description for Medicine 420",299,81,24219
421,"Medicine 421","Sample description for Medicine 421",413,132,54516
422,"Medicine 422","Sample description for Medicine 422",8,72,576
423,"Medicine 423","Sample description for Medicine 423",315,77,24255
424,"Medicine 424","Sample description for Medicine 424",32,55,1760
425,"Medicine 425","Sample description for Medicine 425",196,178,34888
426,"Medicine 426","Sample description for Medicine 426",470,193,90710
427,"Medicine 427","Sample description for Medicine 427",188,126,23688
428,"Medicine 428","Sample description for Medicine 428",258,76,19608
429,"Medicine 429","Sample description for Medicine 429",306,95,29070
430,"Medicine 430","Sample description for Medicine 430",170,185,31450
431,"Medicine 431","Sample description for Medicine 431",119,40,4760
432,"Medicine 432","Sample description for Medicine 432",383,130,49790
433,"Medicine 433","Sample description for Medicine 433",263,136,35768
434,"Medicine 434","Sample description for Medicine 434",490,117,57330
435,"Medicine 435","Sample description for Medicine 435",222,151,33522
436,"Medicine 436","Sample description for Medicine 436",118,160,18880
437,"Medicine 437","Sample description for Medicine 437",446,116,51736
438,"Medicine 438","Sample description for Medicine 438",358,136,48688
439,"Medicine 439","Sample description for Medicine 439",252,66,16632
440,"Medicine 440","Sample description for Medicine 440",400,109,43600
441,"Medicine 441","Sample description for Medicine 441",279,154,42966
442,"Medicine 442","Sample description for Medicine 442",43,186,7998
443,"Medicine 443","Sample description for Medicine 443",366,115,42090
444,"Medicine 444","Sample description for Medicine 444",128,139,17792
445,"Medicine 445","Sample description for Medicine 445",177,54,9558
446,"Medicine 446","Sample description for Medicine 446",113,40,4520
447,"Medicine 447","Sample description for Medicine 447",397,143,56771
448,"Medicine 448","Sample description for Medicine 448",125,91,11375
449,"Medicine 449","Sample description for Medicine 449",26,107,2782
450,"Medicine 450","Sample description for Medicine 450",436,126,54936
451,"Medicine 451","Sample description for Medicine 451",22,43,946
452,"Medicine 452","Sample description for Medicine 452",198,149,29502
453,"Medicine 453","Sample description for Medicine 453",326,109,35534
454,"Medicine 454","Sample description for Medicine 454",472,89,42008
455,"Medicine 455","Sample description for Medicine 455",415,200,83000
456,"Medicine 456","Sample description for Medicine 456",95,71,6745
457,"Medicine 457","Sample description for Medicine 457",126,80,10080
458,"Medicine 458","Sample description for Medicine 458",197,34,6698
459,"Medicine 459","Sample description for Medicine 459",108,76,8208
460,"Medicine 460","Sample description for Medicine 460",23,116,2668
461,"Medicine 461","Sample description for Medicine 461",484,15,7260
462,"Medicine 462","Sample description for Medicine 462",145,129,18705
463,"Medicine 463","Sample description for Medicine 463",267,168,44856
464,"Medicine 464","Sample description for Medicine 464",52,58,3016
465,"Medicine 465","Sample description for Medicine 465",258,55,14190
466,"Medicine 466","Sample description for Medicine 466",68,174,11832
467,"Medicine 467","Sample description for Medicine 467",299,38,11362
468,"Medicine 468","Sample description for Medicine 468",153,166,25398
469,"Medicine 469","Sample description for Medicine 469",290,189,54810
470,"Medicine 470","Sample description for Medicine 470",320,124,39680
471,"Medicine 471","Sample description for Medicine 471",167,16,2672
472,"Medicine 472","Sample description for Medicine 472",425,27,11475
473,"Medicine 473","Sample description for Medicine 473",430,184,79120
474,"Medicine 474","Sample description for Medicine 474",97,14,1358
475,"Medicine 475","Sample description for Medicine 475",174,158,27492
476,"Medicine 476","Sample description for Medicine 476",257,123,31611
477,"Medicine 477","Sample description for Medicine 477",100,23,2300
478,"Medicine 478","Sample description for Medicine 478",435,93,40455
479,"Medicine 479","Sample description for Medicine 479",354,21,7434
480,"Medicine 480","Sample description for Medicine 480",353,183,64599
481,"Medicine 481","Sample description for Medicine 481",224,131,29344
